scientificName,commonName,spp_slug,aou,bnc
Chroicocephalus philadelphia,Bonaparte's Gull,chroicocephalus-philadelphia,1993,285
Leucophaeus pipixcan,Franklin's Gull,leucophaeus-pipixcan,479,282
Chroicocephalus ridibundus,Black-headed Gull,chroicocephalus-ridibundus,1994,284
Larus schistisagus,Slaty-backed Gull,larus-schistisagus,472,12217
Larus thayeri,Thayer's Gull,larus-thayeri,469,291
Laterallus jamaicensis,Black Rail,laterallus-jamaicensis,338,218
Limnodromus griseus,Short-billed Dowitcher,limnodromus-griseus,449,269
Limnodromus scolopaceus,Long-billed Dowitcher,limnodromus-scolopaceus,450,270
Limnothlypis swainsonii,Swainson's Warbler,limnothlypis-swainsonii,1579,473
Limosa fedoa,Marbled Godwit,limosa-fedoa,422,252
Limosa haemastica,Hudsonian Godwit,limosa-haemastica,420,250
Limosa lapponica,Bar-tailed Godwit,limosa-lapponica,421,251
Limosa limosa,Black-tailed Godwit,limosa-limosa,419,249
Lophodytes cucullatus,Hooded Merganser,lophodytes-cucullatus,71,189
Loxia curvirostra,Red Crossbill,loxia-curvirostra,1854,545
Loxia leucoptera,White-winged Crossbill,loxia-leucoptera,1856,547
Megascops asio,Eastern Screech-Owl,megascops-asio,669,334
Melanerpes carolinus,Red-bellied Woodpecker,melanerpes-carolinus,953,355
Melanerpes erythrocephalus,Red-headed Woodpecker,melanerpes-erythrocephalus,940,354
Melanitta fusca,White-winged Scoter,melanitta-fusca,64,185
Melanitta americana,Black Scoter,melanitta-americana,65,183
Melanitta perspicillata,Surf Scoter,melanitta-perspicillata,63,184
Meleagris gallopavo,Wild Turkey,meleagris-gallopavo,110,215
Melospiza georgiana,Swamp Sparrow,melospiza-georgiana,1724,519
Melospiza lincolnii,Lincoln's Sparrow,melospiza-lincolnii,1723,518
Melospiza melodia,Song Sparrow,melospiza-melodia,1722,517
Mergus merganser,Common Merganser,mergus-merganser,72,190
Mergus serrator,Red-breasted Merganser,mergus-serrator,73,191
Mergus serrator,White Ibis,mergus-serrator,73,191
Mimus polyglottos,Northern Mockingbird,mimus-polyglottos,1487,423
Mniotilta varia,Black-and-white Warbler,mniotilta-varia,1575,469
Molothrus ater,Brown-headed Cowbird,molothrus-ater,1795,538
Molothrus bonariensis,Shiny Cowbird,molothrus-bonariensis,1793,537
Morus bassanus,Northern Gannet,morus-bassanus,204,127
Mycteria americana,Wood Stork,mycteria-americana,253,151
Myiarchus cinerascens,Ash-throated Flycatcher,myiarchus-cinerascens,1167,374
Myiarchus crinitus,Great Crested Flycatcher,myiarchus-crinitus,1169,375
Numenius americanus,Long-billed Curlew,numenius-americanus,418,248
Numenius phaeopus,Whimbrel,numenius-phaeopus,413,247
Nyctanassa violacea,Yellow-crowned Night-Heron,nyctanassa-violacea,243,146
Nycticorax nycticorax,Black-crowned Night-Heron,nycticorax-nycticorax,242,145
Oceanites oceanicus,Wilson's Storm-Petrel,oceanites-oceanicus,181,119
Oceanodroma castro,Band-rumped Storm-Petrel,oceanodroma-castro,188,122
Oceanodroma leucorhoa,Leach's Storm-Petrel,oceanodroma-leucorhoa,186,121
Oceanodroma monorhis,Swinhoe's Storm-Petrel,oceanodroma-monorhis,2056,12214
Oenanthe oenanthe,Northern Wheatear,oenanthe-oenanthe,1426,412
Onychoprion anaethetus,Bridled Tern,onychoprion-anaethetus,488,307
Onychoprion fuscatus,Sooty Tern,onychoprion-fuscatus,486,308
Oporornis agilis,Connecticut Warbler,oporornis-agilis,1584,478
Geothlypis formosa,Kentucky Warbler,geothlypis-formosa,1583,477
Geothlypis philadelphia,Mourning Warbler,geothlypis-philadelphia,1585,479
Geothlypis tolmiei,MacGillivray's Warbler,geothlypis-tolmiei,1586,12228
Oreoscoptes montanus,Sage Thrasher,oreoscoptes-montanus,1491,424
Oxyura jamaicensis,Ruddy Duck,oxyura-jamaicensis,75,192
Pandion haliaetus,Osprey,pandion-haliaetus,2005,194
Setophaga americana,Northern Parula,setophaga-americana,1543,449
Passer domesticus,House Sparrow,passer-domesticus,1907,553
Passerculus sandwichensis,Savannah Sparrow,passerculus-sandwichensis,1715,508
Passerella iliaca,Fox Sparrow,passerella-iliaca,1721,516
Passerina caerulea,Blue Grosbeak,passerina-caerulea,1763,491
Passerina ciris,Painted Bunting,passerina-ciris,1769,495
Passerina cyanea,Indigo Bunting,passerina-cyanea,1765,493
Pelagodroma marina,White-faced Storm-Petrel,pelagodroma-marina,1995,120
Pelecanus erythrorhynchos,American White Pelican,pelecanus-erythrorhynchos,205,128
Pelecanus occidentalis,Brown Pelican,pelecanus-occidentalis,206,129
Petrochelidon fulva,Cave Swallow,petrochelidon-fulva,1330,388
Petrochelidon pyrrhonota,Cliff Swallow,petrochelidon-pyrrhonota,1329,387
Phaethon aethereus,Red-billed Tropicbird,phaethon-aethereus,196,124
Phaethon lepturus,White-tailed Tropicbird,phaethon-lepturus,195,123
Phalacrocorax auritus,Double-crested Cormorant,phalacrocorax-auritus,209,131
Phalacrocorax carbo,Great Cormorant,phalacrocorax-carbo,210,130
Phalaropus fulicarius,Red Phalarope,phalaropus-fulicarius,459,275
Phalaropus lobatus,Red-necked Phalarope,phalaropus-lobatus,458,274
Phalaropus tricolor,Wilson's Phalarope,phalaropus-tricolor,457,273
Pheucticus ludovicianus,Rose-breasted Grosbeak,pheucticus-ludovicianus,1759,489
Philomachus pugnax,Ruff,philomachus-pugnax,448,268
Picoides borealis,Red-cockaded Woodpecker,picoides-borealis,967,360
Picoides pubescens,Downy Woodpecker,picoides-pubescens,963,358
Picoides villosus,Hairy Woodpecker,picoides-villosus,964,359
Pipilo erythrophthalmus,Eastern Towhee,pipilo-erythrophthalmus,1689,498
Piranga ludoviciana,Western Tanager,piranga-ludoviciana,1957,487
Piranga olivacea,Scarlet Tanager,piranga-olivacea,1956,486
Piranga rubra,Summer Tanager,piranga-rubra,1955,485
Platalea ajaja,Roseate Spoonbill,platalea-ajaja,251,150
Plectrophenax nivalis,Snow Bunting,plectrophenax-nivalis,1744,527
Eudocimus falcinellus,Glossy Ibis,eudocimus-falcinellus,247,148
Pluvialis dominica,American Golden-Plover,pluvialis-dominica,373,230
Pluvialis squatarola,Black-bellied Plover,pluvialis-squatarola,371,229
Podiceps auritus,Horned Grebe,podiceps-auritus,1986,101
Podiceps grisegena,Red-necked Grebe,podiceps-grisegena,1987,102
Podiceps nigricollis,Eared Grebe,podiceps-nigricollis,1985,103
Podilymbus podiceps,Pied-billed Grebe,podilymbus-podiceps,138,100
Poecile atricapillus,Black-capped Chickadee,poecile-atricapillus,1334,394
Poecile carolinensis,Carolina Chickadee,poecile-carolinensis,1333,396
Polioptila caerulea,Blue-gray Gnatcatcher,polioptila-caerulea,2010,411
Pooecetes gramineus,Vesper Sparrow,pooecetes-gramineus,1710,505
Porphyrio martinicus,Purple Gallinule,porphyrio-martinicus,9871,223
Porzana carolina,Sora,porzana-carolina,348,222
Progne subis,Purple Martin,progne-subis,1311,383
Protonotaria citrea,Prothonotary Warbler,protonotaria-citrea,1577,471
Pterodroma arminjoniana,Herald Petrel,pterodroma-arminjoniana,151,110
Pterodroma cahow,Bermuda Petrel,pterodroma-cahow,154,109
Pterodroma feae,Fea's Petrel,pterodroma-feae,0,111
Pterodroma hasitata,Black-capped Petrel,pterodroma-hasitata,1981,108
Puffinus gravis,Great Shearwater,puffinus-gravis,171,114
Puffinus griseus,Sooty Shearwater,puffinus-griseus,174,115
Puffinus lherminieri,Audubon's Shearwater,puffinus-lherminieri,180,118
Puffinus puffinus,Manx Shearwater,puffinus-puffinus,177,116
Pyrocephalus rubinus,Vermilion Flycatcher,pyrocephalus-rubinus,1156,373
Quiscalus major,Boat-tailed Grackle,quiscalus-major,1787,535
Quiscalus quiscula,Common Grackle,quiscalus-quiscula,1786,536
Rallus elegans,King Rail,rallus-elegans,341,220
Rallus limicola,Virginia Rail,rallus-limicola,342,221
Rallus longirostris,Clapper Rail,rallus-longirostris,340,219
Recurvirostra americana,American Avocet,recurvirostra-americana,392,238
Regulus calendula,Ruby-crowned Kinglet,regulus-calendula,1403,410
Regulus satrapa,Golden-crowned Kinglet,regulus-satrapa,1402,409
Riparia riparia,Bank Swallow,riparia-riparia,1328,386
Rissa tridactyla,Black-legged Kittiwake,rissa-tridactyla,1925,296
Rynchops niger,Black Skimmer,rynchops-niger,1937,312
Sayornis phoebe,Eastern Phoebe,sayornis-phoebe,1154,371
Scolopax minor,American Woodcock,scolopax-minor,456,272
Seiurus aurocapilla,Ovenbird,seiurus-aurocapilla,1580,474
Parkesia motacilla,Louisiana Waterthrush,parkesia-motacilla,1582,476
Parkesia noveboracensis,Northern Waterthrush,parkesia-noveboracensis,1581,475
Setophaga ruticilla,American Redstart,setophaga-ruticilla,1576,470
Sialia sialis,Eastern Bluebird,sialia-sialis,1428,413
Sitta canadensis,Red-breasted Nuthatch,sitta-canadensis,1347,398
Sitta carolinensis,White-breasted Nuthatch,sitta-carolinensis,1348,399
Sitta pusilla,Brown-headed Nuthatch,sitta-pusilla,1350,400
Somateria mollissima,Common Eider,somateria-mollissima,60,179
Somateria spectabilis,King Eider,somateria-spectabilis,59,180
Sphyrapicus varius,Yellow-bellied Sapsucker,sphyrapicus-varius,956,356
Spiza americana,Dickcissel,spiza-americana,1770,496
Spizella arborea,American Tree Sparrow,spizella-arborea,1704,501
Spizella pallida,Clay-colored Sparrow,spizella-pallida,2048,503
Spizella passerina,Chipping Sparrow,spizella-passerina,1705,502
Spizella pusilla,Field Sparrow,spizella-pusilla,1707,504
Stelgidopteryx serripennis,Northern Rough-winged Swallow,stelgidopteryx-serripennis,1326,385
Stercorarius longicaudus,Long-tailed Jaeger,stercorarius-longicaudus,512,278
Stercorarius maccormicki,South Polar Skua,stercorarius-maccormicki,509,280
Stercorarius parasiticus,Parasitic Jaeger,stercorarius-parasiticus,511,277
Stercorarius pomarinus,Pomarine Jaeger,stercorarius-pomarinus,510,276
Stercorarius skua,Great Skua,stercorarius-skua,508,279
Sterna dougallii,Roseate Tern,sterna-dougallii,500,302
Sterna forsteri,Forster's Tern,sterna-forsteri,503,305
Sterna hirundo,Common Tern,sterna-hirundo,501,303
Sterna paradisaea,Arctic Tern,sterna-paradisaea,502,304
Sternula antillarum,Least Tern,sternula-antillarum,491,306
Streptopelia decaocto,Eurasian Collared-Dove,streptopelia-decaocto,550,323
Strix varia,Barred Owl,strix-varia,696,338
Sturnella magna,Eastern Meadowlark,sturnella-magna,1779,530
Sturnella neglecta,Western Meadowlark,sturnella-neglecta,1780,531
Sturnus vulgaris,European Starling,sturnus-vulgaris,1509,434
Sula dactylatra,Masked Booby,sula-dactylatra,198,125
Sula leucogaster,Brown Booby,sula-leucogaster,202,126
Tachycineta bicolor,Tree Swallow,tachycineta-bicolor,1318,384
Thalassarche chlororhynchos,Yellow-nosed Albatross,thalassarche-chlororhynchos,142,106
Thalasseus maximus,Royal Tern,thalasseus-maximus,504,300
Thalasseus sandvicensis,Sandwich Tern,thalasseus-sandvicensis,506,301
Thryomanes bewickii,Bewick's Wren,thryomanes-bewickii,1382,403
Thryothorus ludovicianus,Carolina Wren,thryothorus-ludovicianus,1378,402
Toxostoma rufum,Brown Thrasher,toxostoma-rufum,1492,425
Tringa erythropus,Spotted Redshank,tringa-erythropus,402,241
Tringa flavipes,Lesser Yellowlegs,tringa-flavipes,406,240
Tringa melanoleuca,Greater Yellowlegs,tringa-melanoleuca,403,239
Tringa semipalmata,Willet,tringa-semipalmata,405,243
Tringa solitaria,Solitary Sandpiper,tringa-solitaria,399,242
Troglodytes aedon,House Wren,troglodytes-aedon,1384,405
Troglodytes hiemalis,Winter Wren,troglodytes-hiemalis,2066,406
Tryngites subruficollis,Buff-breasted Sandpiper,tryngites-subruficollis,447,267
Turdus migratorius,American Robin,turdus-migratorius,1472,421
Tyrannus dominicensis,Gray Kingbird,tyrannus-dominicensis,1197,379
Tyrannus forficatus,Scissor-tailed Flycatcher,tyrannus-forficatus,1200,380
Tyrannus melancholicus,Tropical Kingbird,tyrannus-melancholicus,1191,376
Tyrannus savana,Fork-tailed Flycatcher,tyrannus-savana,1201,381
Tyrannus tyrannus,Eastern Kingbird,tyrannus-tyrannus,1196,378
Tyrannus verticalis,Western Kingbird,tyrannus-verticalis,1195,377
Tyto alba,Barn Owl,tyto-alba,664,333
Uria aalge,Common Murre,uria-aalge,514,12218
Uria lomvia,Thick-billed Murre,uria-lomvia,515,314
Vanellus vanellus,Northern Lapwing,vanellus-vanellus,369,228
Oreothlypis celata,Orange-crowned Warbler,oreothlypis-celata,1536,447
Vermivora chrysoptera,Golden-winged Warbler,vermivora-chrysoptera,1534,445
Oreothlypis peregrina,Tennessee Warbler,oreothlypis-peregrina,1535,446
Vermivora cyanoptera,Blue-winged Warbler,vermivora-cyanoptera,1533,444
Oreothlypis ruficapilla,Nashville Warbler,oreothlypis-ruficapilla,1537,448
Vireo altiloquus,Black-whiskered Vireo,vireo-altiloquus,1259,442
Vireo flavifrons,Yellow-throated Vireo,vireo-flavifrons,1247,438
Vireo gilvus,Warbling Vireo,vireo-gilvus,1254,439
Vireo griseus,White-eyed Vireo,vireo-griseus,1233,435
Vireo olivaceus,Red-eyed Vireo,vireo-olivaceus,1257,441
Vireo philadelphicus,Philadelphia Vireo,vireo-philadelphicus,1256,440
Vireo solitarius,Blue-headed Vireo,vireo-solitarius,1250,437
Cardellina canadensis,Canada Warbler,cardellina-canadensis,1602,483
Setophaga citrina,Hooded Warbler,setophaga-citrina,1600,481
Cardellina pusilla,Wilson's Warbler,cardellina-pusilla,1601,482
Xanthocephalus xanthocephalus,Yellow-headed Blackbird,xanthocephalus-xanthocephalus,1781,532
Xema sabini,Sabine's Gull,xema-sabini,1988,297
Zenaida asiatica,White-winged Dove,zenaida-asiatica,553,321
Zenaida macroura,Mourning Dove,zenaida-macroura,556,322
Zonotrichia albicollis,White-throated Sparrow,zonotrichia-albicollis,1726,520
Zonotrichia leucophrys,White-crowned Sparrow,zonotrichia-leucophrys,1728,521
Zonotrichia querula,Harris's Sparrow,zonotrichia-querula,1727,522
