rachel-carson-national-estuarine-research-reserve-accipiter-cooperii,rachel-carson-national-estuarine-research-reserve,Cooper's Hawk,Accipiter cooperii,accipiter-cooperii,3,0,2,2,3022
rachel-carson-national-estuarine-research-reserve-accipiter-striatus,rachel-carson-national-estuarine-research-reserve,Sharp-shinned Hawk,Accipiter striatus,accipiter-striatus,3,0,4,2,3042
rachel-carson-national-estuarine-research-reserve-actitis-macularius,rachel-carson-national-estuarine-research-reserve,Spotted Sandpiper,Actitis macularius,actitis-macularius,2,2,3,0,2230
rachel-carson-national-estuarine-research-reserve-agelaius-phoeniceus,rachel-carson-national-estuarine-research-reserve,Red-winged Blackbird,Agelaius phoeniceus,agelaius-phoeniceus,5,5,4,4,5544
rachel-carson-national-estuarine-research-reserve-ammodramus-caudacutus,rachel-carson-national-estuarine-research-reserve,Saltmarsh Sharp-tailed Sparrow,Ammodramus caudacutus,ammodramus-caudacutus,4,0,4,4,4044
rachel-carson-national-estuarine-research-reserve-ammodramus-maritimus,rachel-carson-national-estuarine-research-reserve,Seaside Sparrow,Ammodramus maritimus,ammodramus-maritimus,3,3,4,2,3342
rachel-carson-national-estuarine-research-reserve-ammodramus-nelsoni,rachel-carson-national-estuarine-research-reserve,Nelson's Sharp-tailed Sparrow,Ammodramus nelsoni,ammodramus-nelsoni,4,0,4,4,4044
rachel-carson-national-estuarine-research-reserve-anas-acuta,rachel-carson-national-estuarine-research-reserve,Northern Pintail,Anas acuta,anas-acuta,3,0,3,3,3033
rachel-carson-national-estuarine-research-reserve-anas-americana,rachel-carson-national-estuarine-research-reserve,American Wigeon,Anas americana,anas-americana,3,0,3,3,3033
rachel-carson-national-estuarine-research-reserve-anas-clypeata,rachel-carson-national-estuarine-research-reserve,Northern Shoveler,Anas clypeata,anas-clypeata,3,0,3,0,3030
rachel-carson-national-estuarine-research-reserve-anas-crecca,rachel-carson-national-estuarine-research-reserve,Green-winged Teal,Anas crecca,anas-crecca,3,0,3,2,3032
rachel-carson-national-estuarine-research-reserve-anas-discors,rachel-carson-national-estuarine-research-reserve,Blue-winged Teal,Anas discors,anas-discors,2,3,2,0,2320
rachel-carson-national-estuarine-research-reserve-anas-platyrhynchos,rachel-carson-national-estuarine-research-reserve,Mallard,Anas platyrhynchos,anas-platyrhynchos,2,2,2,2,2222
rachel-carson-national-estuarine-research-reserve-anas-rubripes,rachel-carson-national-estuarine-research-reserve,American Black Duck,Anas rubripes,anas-rubripes,1,0,3,2,1032
rachel-carson-national-estuarine-research-reserve-anas-strepera,rachel-carson-national-estuarine-research-reserve,Gadwall,Anas strepera,anas-strepera,3,0,3,3,3033
rachel-carson-national-estuarine-research-reserve-anthus-rubescens,rachel-carson-national-estuarine-research-reserve,American Pipit,Anthus rubescens,anthus-rubescens,0,0,3,3,33
rachel-carson-national-estuarine-research-reserve-archilochus-colubris,rachel-carson-national-estuarine-research-reserve,Ruby-throated Hummingbird,Archilochus colubris,archilochus-colubris,3,3,3,0,3330
rachel-carson-national-estuarine-research-reserve-ardea-alba,rachel-carson-national-estuarine-research-reserve,Great Egret,Ardea alba,ardea-alba,5,5,5,4,5554
rachel-carson-national-estuarine-research-reserve-ardea-herodias,rachel-carson-national-estuarine-research-reserve,Great Blue Heron,Ardea herodias,ardea-herodias,4,2,4,5,4245
rachel-carson-national-estuarine-research-reserve-arenaria-interpres,rachel-carson-national-estuarine-research-reserve,Ruddy Turnstone,Arenaria interpres,arenaria-interpres,5,4,5,5,5455
rachel-carson-national-estuarine-research-reserve-asio-flammeus,rachel-carson-national-estuarine-research-reserve,Short-eared Owl,Asio flammeus,asio-flammeus,1,0,1,1,1011
rachel-carson-national-estuarine-research-reserve-aythya-affinis,rachel-carson-national-estuarine-research-reserve,Lesser Scaup,Aythya affinis,aythya-affinis,3,0,3,2,3032
rachel-carson-national-estuarine-research-reserve-aythya-americana,rachel-carson-national-estuarine-research-reserve,Redhead,Aythya americana,aythya-americana,3,0,0,3,3003
rachel-carson-national-estuarine-research-reserve-aythya-marila,rachel-carson-national-estuarine-research-reserve,Greater Scaup,Aythya marila,aythya-marila,3,0,0,3,3003
rachel-carson-national-estuarine-research-reserve-baeolophus-bicolor,rachel-carson-national-estuarine-research-reserve,Tufted Titmouse,Baeolophus bicolor,baeolophus-bicolor,3,3,3,3,3333
rachel-carson-national-estuarine-research-reserve-bombycilla-cedrorum,rachel-carson-national-estuarine-research-reserve,Cedar Waxwing,Bombycilla cedrorum,bombycilla-cedrorum,2,0,3,2,2032
rachel-carson-national-estuarine-research-reserve-botaurus-lentiginosus,rachel-carson-national-estuarine-research-reserve,American Bittern,Botaurus lentiginosus,botaurus-lentiginosus,3,0,3,3,3033
rachel-carson-national-estuarine-research-reserve-branta-bernicla,rachel-carson-national-estuarine-research-reserve,Brant,Branta bernicla,branta-bernicla,0,0,0,1,1
rachel-carson-national-estuarine-research-reserve-branta-canadensis,rachel-carson-national-estuarine-research-reserve,Canada Goose,Branta canadensis,branta-canadensis,3,3,3,3,3333
rachel-carson-national-estuarine-research-reserve-bubo-virginianus,rachel-carson-national-estuarine-research-reserve,Great Horned Owl,Bubo virginianus,bubo-virginianus,3,3,3,3,3333
rachel-carson-national-estuarine-research-reserve-bubulcus-ibis,rachel-carson-national-estuarine-research-reserve,Cattle Egret,Bubulcus ibis,bubulcus-ibis,2,2,3,0,2230
rachel-carson-national-estuarine-research-reserve-bucephala-albeola,rachel-carson-national-estuarine-research-reserve,Bufflehead,Bucephala albeola,bucephala-albeola,2,0,3,5,2035
rachel-carson-national-estuarine-research-reserve-bucephala-clangula,rachel-carson-national-estuarine-research-reserve,Common Goldeneye,Bucephala clangula,bucephala-clangula,3,0,0,3,3003
rachel-carson-national-estuarine-research-reserve-buteo-jamaicensis,rachel-carson-national-estuarine-research-reserve,Red-tailed Hawk,Buteo jamaicensis,buteo-jamaicensis,3,0,2,2,3022
rachel-carson-national-estuarine-research-reserve-butorides-virescens,rachel-carson-national-estuarine-research-reserve,Green Heron,Butorides virescens,butorides-virescens,4,4,2,0,4420
rachel-carson-national-estuarine-research-reserve-calidris-alba,rachel-carson-national-estuarine-research-reserve,Sanderling,Calidris alba,calidris-alba,5,4,5,5,5455
rachel-carson-national-estuarine-research-reserve-calidris-alpina,rachel-carson-national-estuarine-research-reserve,Dunlin,Calidris alpina,calidris-alpina,5,3,4,5,5345
rachel-carson-national-estuarine-research-reserve-calidris-canutus,rachel-carson-national-estuarine-research-reserve,Red Knot,Calidris canutus,calidris-canutus,2,2,2,2,2222
rachel-carson-national-estuarine-research-reserve-calidris-fuscicollis,rachel-carson-national-estuarine-research-reserve,White-rumped Sandpiper,Calidris fuscicollis,calidris-fuscicollis,3,3,1,0,3310
rachel-carson-national-estuarine-research-reserve-calidris-himantopus,rachel-carson-national-estuarine-research-reserve,Stilt Sandpiper,Calidris himantopus,calidris-himantopus,1,3,1,0,1310
rachel-carson-national-estuarine-research-reserve-calidris-mauri,rachel-carson-national-estuarine-research-reserve,Western Sandpiper,Calidris mauri,calidris-mauri,4,4,5,5,4455
rachel-carson-national-estuarine-research-reserve-calidris-melanotos,rachel-carson-national-estuarine-research-reserve,Pectoral Sandpiper,Calidris melanotos,calidris-melanotos,3,3,3,0,3330
rachel-carson-national-estuarine-research-reserve-calidris-minutilla,rachel-carson-national-estuarine-research-reserve,Least Sandpiper,Calidris minutilla,calidris-minutilla,4,4,4,2,4442
rachel-carson-national-estuarine-research-reserve-calidris-pusilla,rachel-carson-national-estuarine-research-reserve,Semipalmated Sandpiper,Calidris pusilla,calidris-pusilla,4,2,2,0,4220
rachel-carson-national-estuarine-research-reserve-caprimulgus-carolinensis,rachel-carson-national-estuarine-research-reserve,Chuck-will's-widow,Caprimulgus carolinensis,caprimulgus-carolinensis,3,3,0,0,3300
rachel-carson-national-estuarine-research-reserve-cardinalis-cardinalis,rachel-carson-national-estuarine-research-reserve,Northern Cardinal,Cardinalis cardinalis,cardinalis-cardinalis,5,5,5,5,5555
rachel-carson-national-estuarine-research-reserve-carduelis-tristis,rachel-carson-national-estuarine-research-reserve,American Goldfinch,Carduelis tristis,carduelis-tristis,3,0,3,3,3033
rachel-carson-national-estuarine-research-reserve-carpodacus-mexicanus,rachel-carson-national-estuarine-research-reserve,House Finch,Carpodacus mexicanus,carpodacus-mexicanus,4,4,4,4,4444
rachel-carson-national-estuarine-research-reserve-cathartes-aura,rachel-carson-national-estuarine-research-reserve,Turkey Vulture,Cathartes aura,cathartes-aura,4,4,4,4,4444
rachel-carson-national-estuarine-research-reserve-catharus-guttatus,rachel-carson-national-estuarine-research-reserve,Hermit Thrush,Catharus guttatus,catharus-guttatus,3,0,3,2,3032
rachel-carson-national-estuarine-research-reserve-ceryle-alcyon,rachel-carson-national-estuarine-research-reserve,Belted Kingfisher,Ceryle alcyon,ceryle-alcyon,3,3,2,4,3324
rachel-carson-national-estuarine-research-reserve-chaetura-pelagica,rachel-carson-national-estuarine-research-reserve,Chimney Swift,Chaetura pelagica,chaetura-pelagica,5,5,2,0,5520
rachel-carson-national-estuarine-research-reserve-charadrius-melodus,rachel-carson-national-estuarine-research-reserve,Piping Plover,Charadrius melodus,charadrius-melodus,2,3,4,4,2344
rachel-carson-national-estuarine-research-reserve-charadrius-semipalmatus,rachel-carson-national-estuarine-research-reserve,Semipalmated Plover,Charadrius semipalmatus,charadrius-semipalmatus,5,4,5,5,5455
rachel-carson-national-estuarine-research-reserve-charadrius-vociferus,rachel-carson-national-estuarine-research-reserve,Killdeer,Charadrius vociferus,charadrius-vociferus,2,2,4,4,2244
rachel-carson-national-estuarine-research-reserve-charadrius-wilsonia,rachel-carson-national-estuarine-research-reserve,Wilson's Plover,Charadrius wilsonia,charadrius-wilsonia,4,5,2,3,4523
rachel-carson-national-estuarine-research-reserve-chlidonias-niger,rachel-carson-national-estuarine-research-reserve,Black Tern,Chlidonias niger,chlidonias-niger,0,2,3,0,230
rachel-carson-national-estuarine-research-reserve-chordeiles-minor,rachel-carson-national-estuarine-research-reserve,Common Nighthawk,Chordeiles minor,chordeiles-minor,2,2,3,0,2230
rachel-carson-national-estuarine-research-reserve-circus-cyaneus,rachel-carson-national-estuarine-research-reserve,Northern Harrier,Circus cyaneus,circus-cyaneus,2,3,4,4,2344
rachel-carson-national-estuarine-research-reserve-cistothorus-palustris,rachel-carson-national-estuarine-research-reserve,Marsh Wren,Cistothorus palustris,cistothorus-palustris,3,0,2,2,3022
rachel-carson-national-estuarine-research-reserve-cistothorus-platensis,rachel-carson-national-estuarine-research-reserve,Sedge Wren,Cistothorus platensis,cistothorus-platensis,3,0,2,2,3022
rachel-carson-national-estuarine-research-reserve-clangula-hyemalis,rachel-carson-national-estuarine-research-reserve,Long-tailed Duck,Clangula hyemalis,clangula-hyemalis,0,0,0,1,1
rachel-carson-national-estuarine-research-reserve-coccyzus-americanus,rachel-carson-national-estuarine-research-reserve,Yellow-billed Cuckoo,Coccyzus americanus,coccyzus-americanus,3,3,3,0,3330
rachel-carson-national-estuarine-research-reserve-colaptes-auratus,rachel-carson-national-estuarine-research-reserve,Northern Flicker,Colaptes auratus,colaptes-auratus,2,3,4,4,2344
rachel-carson-national-estuarine-research-reserve-columba-livia,rachel-carson-national-estuarine-research-reserve,Rock Pigeon,Columba livia,columba-livia,2,2,2,2,2222
rachel-carson-national-estuarine-research-reserve-corvus-ossifragus,rachel-carson-national-estuarine-research-reserve,Fish Crow,Corvus ossifragus,corvus-ossifragus,5,5,2,2,5522
rachel-carson-national-estuarine-research-reserve-cyanocitta-cristata,rachel-carson-national-estuarine-research-reserve,Blue Jay,Cyanocitta cristata,cyanocitta-cristata,4,4,4,4,4444
rachel-carson-national-estuarine-research-reserve-dendroica-caerulescens,rachel-carson-national-estuarine-research-reserve,Black-throated Blue Warbler,Dendroica caerulescens,dendroica-caerulescens,0,0,3,0,30
rachel-carson-national-estuarine-research-reserve-dendroica-coronata,rachel-carson-national-estuarine-research-reserve,Yellow-rumped Warbler,Dendroica coronata,dendroica-coronata,4,0,4,5,4045
rachel-carson-national-estuarine-research-reserve-dendroica-discolor,rachel-carson-national-estuarine-research-reserve,Prairie Warbler,Dendroica discolor,dendroica-discolor,3,3,2,0,3320
rachel-carson-national-estuarine-research-reserve-dendroica-magnolia,rachel-carson-national-estuarine-research-reserve,Magnolia Warbler,Dendroica magnolia,dendroica-magnolia,0,0,3,0,30
rachel-carson-national-estuarine-research-reserve-dendroica-palmarum,rachel-carson-national-estuarine-research-reserve,Palm Warbler,Dendroica palmarum,dendroica-palmarum,3,0,4,3,3043
rachel-carson-national-estuarine-research-reserve-dendroica-petechia,rachel-carson-national-estuarine-research-reserve,Yellow Warbler,Dendroica petechia,dendroica-petechia,3,3,3,0,3330
rachel-carson-national-estuarine-research-reserve-dendroica-pinus,rachel-carson-national-estuarine-research-reserve,Pine Warbler,Dendroica pinus,dendroica-pinus,0,0,3,3,33
rachel-carson-national-estuarine-research-reserve-dendroica-striata,rachel-carson-national-estuarine-research-reserve,Blackpoll Warbler,Dendroica striata,dendroica-striata,3,0,3,0,3030
rachel-carson-national-estuarine-research-reserve-dendroica-tigrina,rachel-carson-national-estuarine-research-reserve,Cape May Warbler,Dendroica tigrina,dendroica-tigrina,0,0,3,0,30
rachel-carson-national-estuarine-research-reserve-dolichonyx-oryzivorus,rachel-carson-national-estuarine-research-reserve,Bobolink,Dolichonyx oryzivorus,dolichonyx-oryzivorus,3,0,2,0,3020
rachel-carson-national-estuarine-research-reserve-dumetella-carolinensis,rachel-carson-national-estuarine-research-reserve,Gray Catbird,Dumetella carolinensis,dumetella-carolinensis,5,5,5,5,5555
rachel-carson-national-estuarine-research-reserve-egretta-caerulea,rachel-carson-national-estuarine-research-reserve,Little Blue Heron,Egretta caerulea,egretta-caerulea,4,4,4,2,4442
rachel-carson-national-estuarine-research-reserve-egretta-rufescens,rachel-carson-national-estuarine-research-reserve,Reddish Egret,Egretta rufescens,egretta-rufescens,0,1,1,0,110
rachel-carson-national-estuarine-research-reserve-egretta-thula,rachel-carson-national-estuarine-research-reserve,Snowy Egret,Egretta thula,egretta-thula,5,5,5,4,5554
rachel-carson-national-estuarine-research-reserve-egretta-tricolor,rachel-carson-national-estuarine-research-reserve,Tricolored Heron,Egretta tricolor,egretta-tricolor,5,5,5,4,5554
rachel-carson-national-estuarine-research-reserve-eudocimus-albus,rachel-carson-national-estuarine-research-reserve,White Ibis,Eudocimus albus,eudocimus-albus,5,5,5,5,5555
rachel-carson-national-estuarine-research-reserve-falco-columbarius,rachel-carson-national-estuarine-research-reserve,Merlin,Falco columbarius,falco-columbarius,3,0,2,2,3022
rachel-carson-national-estuarine-research-reserve-falco-peregrinus,rachel-carson-national-estuarine-research-reserve,Peregrine Falcon,Falco peregrinus,falco-peregrinus,3,0,2,2,3022
rachel-carson-national-estuarine-research-reserve-falco-sparverius,rachel-carson-national-estuarine-research-reserve,American Kestrel,Falco sparverius,falco-sparverius,3,0,2,2,3022
rachel-carson-national-estuarine-research-reserve-fulica-americana,rachel-carson-national-estuarine-research-reserve,American Coot,Fulica americana,fulica-americana,0,0,3,3,33
rachel-carson-national-estuarine-research-reserve-gallinago-delicata,rachel-carson-national-estuarine-research-reserve,Wilson's Snipe,Gallinago delicata,gallinago-delicata,3,0,3,3,3033
rachel-carson-national-estuarine-research-reserve-gavia-immer,rachel-carson-national-estuarine-research-reserve,Common Loon,Gavia immer,gavia-immer,4,3,2,5,4325
rachel-carson-national-estuarine-research-reserve-gavia-stellata,rachel-carson-national-estuarine-research-reserve,Red-throated Loon,Gavia stellata,gavia-stellata,3,0,0,2,3002
rachel-carson-national-estuarine-research-reserve-gelochelidon-nilotica,rachel-carson-national-estuarine-research-reserve,Gull-billed Tern,Gelochelidon nilotica,gelochelidon-nilotica,2,4,3,0,2430
rachel-carson-national-estuarine-research-reserve-geothlypis-trichas,rachel-carson-national-estuarine-research-reserve,Common Yellowthroat,Geothlypis trichas,geothlypis-trichas,3,3,4,3,3343
rachel-carson-national-estuarine-research-reserve-haematopus-palliatus,rachel-carson-national-estuarine-research-reserve,American Oystercatcher,Haematopus palliatus,haematopus-palliatus,5,5,5,5,5555
rachel-carson-national-estuarine-research-reserve-haliaeetus-leucocephalus,rachel-carson-national-estuarine-research-reserve,Bald Eagle,Haliaeetus leucocephalus,haliaeetus-leucocephalus,3,3,3,3,3333
rachel-carson-national-estuarine-research-reserve-hirundo-rustica,rachel-carson-national-estuarine-research-reserve,Barn Swallow,Hirundo rustica,hirundo-rustica,5,5,4,0,5540
rachel-carson-national-estuarine-research-reserve-hydroprogne-caspia,rachel-carson-national-estuarine-research-reserve,Caspian Tern,Hydroprogne caspia,hydroprogne-caspia,1,2,4,0,1240
rachel-carson-national-estuarine-research-reserve-icteria-virens,rachel-carson-national-estuarine-research-reserve,Yellow-breasted Chat,Icteria virens,icteria-virens,3,3,3,0,3330
rachel-carson-national-estuarine-research-reserve-icterus-galbula,rachel-carson-national-estuarine-research-reserve,Baltimore Oriole,Icterus galbula,icterus-galbula,0,0,3,0,30
rachel-carson-national-estuarine-research-reserve-icterus-spurius,rachel-carson-national-estuarine-research-reserve,Orchard Oriole,Icterus spurius,icterus-spurius,4,4,0,0,4400
rachel-carson-national-estuarine-research-reserve-ixobrychus-exilis,rachel-carson-national-estuarine-research-reserve,Least Bittern,Ixobrychus exilis,ixobrychus-exilis,3,3,3,0,3330
