rachel-carson-national-estuarine-research-reserve-accipiter-cooperii,rachel-carson-national-estuarine-research-reserve,Cooper's Hawk,Accipiter cooperii,accipiter-cooperii,3,0,2,2,3022
rachel-carson-national-estuarine-research-reserve-junco-hyemalis,rachel-carson-national-estuarine-research-reserve,Dark-eyed Junco,Junco hyemalis,junco-hyemalis,0,0,3,3,33
rachel-carson-national-estuarine-research-reserve-larus-argentatus,rachel-carson-national-estuarine-research-reserve,Herring Gull,Larus argentatus,larus-argentatus,5,4,5,5,5455
rachel-carson-national-estuarine-research-reserve-larus-atricilla,rachel-carson-national-estuarine-research-reserve,Laughing Gull,Larus atricilla,larus-atricilla,5,5,5,2,5552
rachel-carson-national-estuarine-research-reserve-larus-delawarensis,rachel-carson-national-estuarine-research-reserve,Ring-billed Gull,Larus delawarensis,larus-delawarensis,5,2,5,5,5255
rachel-carson-national-estuarine-research-reserve-larus-fuscus,rachel-carson-national-estuarine-research-reserve,Lesser Black-backed Gull,Larus fuscus,larus-fuscus,3,0,3,3,3033
rachel-carson-national-estuarine-research-reserve-larus-glaucoides,rachel-carson-national-estuarine-research-reserve,Iceland Gull,Larus glaucoides,larus-glaucoides,0,0,0,1,1
rachel-carson-national-estuarine-research-reserve-larus-hyperboreus,rachel-carson-national-estuarine-research-reserve,Glaucous Gull,Larus hyperboreus,larus-hyperboreus,0,0,0,1,1
rachel-carson-national-estuarine-research-reserve-larus-marinus,rachel-carson-national-estuarine-research-reserve,Great Black-backed Gull,Larus marinus,larus-marinus,5,2,5,5,5255
rachel-carson-national-estuarine-research-reserve-larus-philadelphia,rachel-carson-national-estuarine-research-reserve,Bonaparte's Gull,Larus philadelphia,larus-philadelphia,4,0,3,4,4034
rachel-carson-national-estuarine-research-reserve-limnodromus-griseus,rachel-carson-national-estuarine-research-reserve,Short-billed Dowitcher,Limnodromus griseus,limnodromus-griseus,5,4,5,5,5455
rachel-carson-national-estuarine-research-reserve-limnodromus-scolopaceus,rachel-carson-national-estuarine-research-reserve,Long-billed Dowitcher,Limnodromus scolopaceus,limnodromus-scolopaceus,0,0,1,1,11
rachel-carson-national-estuarine-research-reserve-limosa-fedoa,rachel-carson-national-estuarine-research-reserve,Marbled Godwit,Limosa fedoa,limosa-fedoa,4,3,5,5,4355
rachel-carson-national-estuarine-research-reserve-lophodytes-cucullatus,rachel-carson-national-estuarine-research-reserve,Hooded Merganser,Lophodytes cucullatus,lophodytes-cucullatus,3,0,3,4,3034
rachel-carson-national-estuarine-research-reserve-melanerpes-carolinus,rachel-carson-national-estuarine-research-reserve,Red-bellied Woodpecker,Melanerpes carolinus,melanerpes-carolinus,3,0,3,3,3033
rachel-carson-national-estuarine-research-reserve-melanitta-fusca,rachel-carson-national-estuarine-research-reserve,White-winged Scoter,Melanitta fusca,melanitta-fusca,1,0,0,1,1001
rachel-carson-national-estuarine-research-reserve-melanitta-nigra,rachel-carson-national-estuarine-research-reserve,Black Scoter,Melanitta nigra,melanitta-nigra,2,1,3,3,2133
rachel-carson-national-estuarine-research-reserve-melanitta-perspicillata,rachel-carson-national-estuarine-research-reserve,Surf Scoter,Melanitta perspicillata,melanitta-perspicillata,3,0,3,3,3033
rachel-carson-national-estuarine-research-reserve-melospiza-georgiana,rachel-carson-national-estuarine-research-reserve,Swamp Sparrow,Melospiza georgiana,melospiza-georgiana,2,0,2,4,2024
rachel-carson-national-estuarine-research-reserve-melospiza-melodia,rachel-carson-national-estuarine-research-reserve,Song Sparrow,Melospiza melodia,melospiza-melodia,2,0,2,5,2025
rachel-carson-national-estuarine-research-reserve-mergus-serrator,rachel-carson-national-estuarine-research-reserve,Red-breasted Merganser,Mergus serrator,mergus-serrator,5,3,2,5,5325
rachel-carson-national-estuarine-research-reserve-mimus-polyglottos,rachel-carson-national-estuarine-research-reserve,Northern Mockingbird,Mimus polyglottos,mimus-polyglottos,5,5,5,5,5555
rachel-carson-national-estuarine-research-reserve-mniotilta-varia,rachel-carson-national-estuarine-research-reserve,Black-and-white Warbler,Mniotilta varia,mniotilta-varia,0,0,3,0,30
rachel-carson-national-estuarine-research-reserve-molothrus-ater,rachel-carson-national-estuarine-research-reserve,Brown-headed Cowbird,Molothrus ater,molothrus-ater,2,2,3,3,2233
rachel-carson-national-estuarine-research-reserve-morus-bassanus,rachel-carson-national-estuarine-research-reserve,Northern Gannet,Morus bassanus,morus-bassanus,2,0,0,2,2002
rachel-carson-national-estuarine-research-reserve-myiarchus-crinitus,rachel-carson-national-estuarine-research-reserve,Great Crested Flycatcher,Myiarchus crinitus,myiarchus-crinitus,2,2,0,0,2200
rachel-carson-national-estuarine-research-reserve-numenius-americanus,rachel-carson-national-estuarine-research-reserve,Long-billed Curlew,Numenius americanus,numenius-americanus,1,1,1,1,1111
rachel-carson-national-estuarine-research-reserve-numenius-phaeopus,rachel-carson-national-estuarine-research-reserve,Whimbrel,Numenius phaeopus,numenius-phaeopus,5,4,4,3,5443
rachel-carson-national-estuarine-research-reserve-nyctanassa-violacea,rachel-carson-national-estuarine-research-reserve,Yellow-crowned Night-Heron,Nyctanassa violacea,nyctanassa-violacea,3,2,3,0,3230
rachel-carson-national-estuarine-research-reserve-nycticorax-nycticorax,rachel-carson-national-estuarine-research-reserve,Black-crowned Night-Heron,Nycticorax nycticorax,nycticorax-nycticorax,4,4,5,5,4455
rachel-carson-national-estuarine-research-reserve-oxyura-jamaicensis,rachel-carson-national-estuarine-research-reserve,Ruddy Duck,Oxyura jamaicensis,oxyura-jamaicensis,0,0,0,3,3
rachel-carson-national-estuarine-research-reserve-pandion-haliaetus,rachel-carson-national-estuarine-research-reserve,Osprey,Pandion haliaetus,pandion-haliaetus,4,4,4,3,4443
rachel-carson-national-estuarine-research-reserve-parula-americana,rachel-carson-national-estuarine-research-reserve,Northern Parula,Parula americana,parula-americana,0,0,3,0,30
rachel-carson-national-estuarine-research-reserve-passer-domesticus,rachel-carson-national-estuarine-research-reserve,House Sparrow,Passer domesticus,passer-domesticus,2,2,2,2,2222
rachel-carson-national-estuarine-research-reserve-passerculus-sandwichensis,rachel-carson-national-estuarine-research-reserve,Savannah Sparrow,Passerculus sandwichensis,passerculus-sandwichensis,4,0,5,5,4055
rachel-carson-national-estuarine-research-reserve-passerella-iliaca,rachel-carson-national-estuarine-research-reserve,Fox Sparrow,Passerella iliaca,passerella-iliaca,0,0,0,3,3
rachel-carson-national-estuarine-research-reserve-passerina-caerulea,rachel-carson-national-estuarine-research-reserve,Blue Grosbeak,Passerina caerulea,passerina-caerulea,3,3,3,0,3330
rachel-carson-national-estuarine-research-reserve-passerina-ciris,rachel-carson-national-estuarine-research-reserve,Painted Bunting,Passerina ciris,passerina-ciris,2,2,3,0,2230
rachel-carson-national-estuarine-research-reserve-passerina-cyanea,rachel-carson-national-estuarine-research-reserve,Indigo Bunting,Passerina cyanea,passerina-cyanea,3,3,3,0,3330
rachel-carson-national-estuarine-research-reserve-pelecanus-occidentalis,rachel-carson-national-estuarine-research-reserve,Brown Pelican,Pelecanus occidentalis,pelecanus-occidentalis,5,5,5,5,5555
rachel-carson-national-estuarine-research-reserve-phalacrocorax-auritus,rachel-carson-national-estuarine-research-reserve,Double-crested Cormorant,Phalacrocorax auritus,phalacrocorax-auritus,5,3,5,5,5355
rachel-carson-national-estuarine-research-reserve-phalacrocorax-carbo,rachel-carson-national-estuarine-research-reserve,Great Cormorant,Phalacrocorax carbo,phalacrocorax-carbo,0,0,1,1,11
rachel-carson-national-estuarine-research-reserve-phalaropus-lobatus,rachel-carson-national-estuarine-research-reserve,Red-necked Phalarope,Phalaropus lobatus,phalaropus-lobatus,1,1,0,0,1100
rachel-carson-national-estuarine-research-reserve-picoides-pubescens,rachel-carson-national-estuarine-research-reserve,Downy Woodpecker,Picoides pubescens,picoides-pubescens,3,3,3,3,3333
rachel-carson-national-estuarine-research-reserve-pipilo-erythrophthalmus,rachel-carson-national-estuarine-research-reserve,Eastern Towhee,Pipilo erythrophthalmus,pipilo-erythrophthalmus,5,5,5,5,5555
rachel-carson-national-estuarine-research-reserve-plectrophenax-nivalis,rachel-carson-national-estuarine-research-reserve,Snow Bunting,Plectrophenax nivalis,plectrophenax-nivalis,0,0,1,1,11
rachel-carson-national-estuarine-research-reserve-plegadis-falcinellus,rachel-carson-national-estuarine-research-reserve,Glossy Ibis,Plegadis falcinellus,plegadis-falcinellus,3,2,3,0,3230
rachel-carson-national-estuarine-research-reserve-pluvialis-dominica,rachel-carson-national-estuarine-research-reserve,American Golden-Plover,Pluvialis dominica,pluvialis-dominica,0,0,3,0,30
rachel-carson-national-estuarine-research-reserve-pluvialis-squatarola,rachel-carson-national-estuarine-research-reserve,Black-bellied Plover,Pluvialis squatarola,pluvialis-squatarola,5,4,5,5,5455
rachel-carson-national-estuarine-research-reserve-podiceps-auritus,rachel-carson-national-estuarine-research-reserve,Horned Grebe,Podiceps auritus,podiceps-auritus,3,0,3,2,3032
rachel-carson-national-estuarine-research-reserve-podilymbus-podiceps,rachel-carson-national-estuarine-research-reserve,Pied-billed Grebe,Podilymbus podiceps,podilymbus-podiceps,3,0,2,2,3022
rachel-carson-national-estuarine-research-reserve-poecile-carolinensis,rachel-carson-national-estuarine-research-reserve,Carolina Chickadee,Poecile carolinensis,poecile-carolinensis,4,4,4,4,4444
rachel-carson-national-estuarine-research-reserve-polioptila-caerulea,rachel-carson-national-estuarine-research-reserve,Blue-gray Gnatcatcher,Polioptila caerulea,polioptila-caerulea,3,0,3,0,3030
rachel-carson-national-estuarine-research-reserve-porzana-carolina,rachel-carson-national-estuarine-research-reserve,Sora,Porzana carolina,porzana-carolina,2,0,2,1,2021
rachel-carson-national-estuarine-research-reserve-progne-subis,rachel-carson-national-estuarine-research-reserve,Purple Martin,Progne subis,progne-subis,5,5,3,0,5530
rachel-carson-national-estuarine-research-reserve-quiscalus-major,rachel-carson-national-estuarine-research-reserve,Boat-tailed Grackle,Quiscalus major,quiscalus-major,5,5,5,5,5555
rachel-carson-national-estuarine-research-reserve-quiscalus-quiscula,rachel-carson-national-estuarine-research-reserve,Common Grackle,Quiscalus quiscula,quiscalus-quiscula,4,4,3,2,4432
rachel-carson-national-estuarine-research-reserve-rallus-limicola,rachel-carson-national-estuarine-research-reserve,Virginia Rail,Rallus limicola,rallus-limicola,3,0,2,1,3021
rachel-carson-national-estuarine-research-reserve-rallus-longirostris,rachel-carson-national-estuarine-research-reserve,Clapper Rail,Rallus longirostris,rallus-longirostris,5,5,5,4,5554
rachel-carson-national-estuarine-research-reserve-recurvirostra-americana,rachel-carson-national-estuarine-research-reserve,American Avocet,Recurvirostra americana,recurvirostra-americana,0,0,1,1,11
rachel-carson-national-estuarine-research-reserve-regulus-calendula,rachel-carson-national-estuarine-research-reserve,Ruby-crowned Kinglet,Regulus calendula,regulus-calendula,3,0,2,2,3022
rachel-carson-national-estuarine-research-reserve-regulus-satrapa,rachel-carson-national-estuarine-research-reserve,Golden-crowned Kinglet,Regulus satrapa,regulus-satrapa,0,0,3,3,33
rachel-carson-national-estuarine-research-reserve-riparia-riparia,rachel-carson-national-estuarine-research-reserve,Bank Swallow,Riparia riparia,riparia-riparia,3,3,3,0,3330
rachel-carson-national-estuarine-research-reserve-rynchops-niger,rachel-carson-national-estuarine-research-reserve,Black Skimmer,Rynchops niger,rynchops-niger,4,5,5,3,4553
rachel-carson-national-estuarine-research-reserve-sayornis-phoebe,rachel-carson-national-estuarine-research-reserve,Eastern Phoebe,Sayornis phoebe,sayornis-phoebe,0,0,2,3,23
rachel-carson-national-estuarine-research-reserve-scolopax-minor,rachel-carson-national-estuarine-research-reserve,American Woodcock,Scolopax minor,scolopax-minor,0,0,3,3,33
rachel-carson-national-estuarine-research-reserve-seiurus-noveboracensis,rachel-carson-national-estuarine-research-reserve,Northern Waterthrush,Seiurus noveboracensis,seiurus-noveboracensis,0,3,3,0,330
rachel-carson-national-estuarine-research-reserve-setophaga-ruticilla,rachel-carson-national-estuarine-research-reserve,American Redstart,Setophaga ruticilla,setophaga-ruticilla,0,3,2,0,320
rachel-carson-national-estuarine-research-reserve-sitta-canadensis,rachel-carson-national-estuarine-research-reserve,Red-breasted Nuthatch,Sitta canadensis,sitta-canadensis,0,0,3,0,30
rachel-carson-national-estuarine-research-reserve-sphyrapicus-varius,rachel-carson-national-estuarine-research-reserve,Yellow-bellied Sapsucker,Sphyrapicus varius,sphyrapicus-varius,3,0,3,3,3033
rachel-carson-national-estuarine-research-reserve-spizella-passerina,rachel-carson-national-estuarine-research-reserve,Chipping Sparrow,Spizella passerina,spizella-passerina,0,0,3,0,30
rachel-carson-national-estuarine-research-reserve-spizella-pusilla,rachel-carson-national-estuarine-research-reserve,Field Sparrow,Spizella pusilla,spizella-pusilla,0,0,3,3,33
rachel-carson-national-estuarine-research-reserve-stelgidopteryx-serripennis,rachel-carson-national-estuarine-research-reserve,Northern Rough-winged Swallow,Stelgidopteryx serripennis,stelgidopteryx-serripennis,3,3,0,0,3300
rachel-carson-national-estuarine-research-reserve-stercorarius-parasiticus,rachel-carson-national-estuarine-research-reserve,Parasitic Jaeger,Stercorarius parasiticus,stercorarius-parasiticus,1,0,1,0,1010
rachel-carson-national-estuarine-research-reserve-stercorarius-pomarinus,rachel-carson-national-estuarine-research-reserve,Pomarine Jaeger,Stercorarius pomarinus,stercorarius-pomarinus,1,0,1,0,1010
rachel-carson-national-estuarine-research-reserve-sterna-forsteri,rachel-carson-national-estuarine-research-reserve,Forster's Tern,Sterna forsteri,sterna-forsteri,5,5,5,5,5555
rachel-carson-national-estuarine-research-reserve-sterna-hirundo,rachel-carson-national-estuarine-research-reserve,Common Tern,Sterna hirundo,sterna-hirundo,2,4,3,0,2430
rachel-carson-national-estuarine-research-reserve-sternula-antillarum,rachel-carson-national-estuarine-research-reserve,Least Tern,Sternula antillarum,sternula-antillarum,4,5,3,0,4530
rachel-carson-national-estuarine-research-reserve-streptopelia-decaocto,rachel-carson-national-estuarine-research-reserve,Eurasian Collared-Dove,Streptopelia decaocto,streptopelia-decaocto,4,4,4,4,4444
rachel-carson-national-estuarine-research-reserve-sturnella-magna,rachel-carson-national-estuarine-research-reserve,Eastern Meadowlark,Sturnella magna,sturnella-magna,3,3,3,3,3333
rachel-carson-national-estuarine-research-reserve-sturnus-vulgaris,rachel-carson-national-estuarine-research-reserve,European Starling,Sturnus vulgaris,sturnus-vulgaris,4,4,4,4,4444
rachel-carson-national-estuarine-research-reserve-tachycineta-bicolor,rachel-carson-national-estuarine-research-reserve,Tree Swallow,Tachycineta bicolor,tachycineta-bicolor,3,0,4,3,3043
rachel-carson-national-estuarine-research-reserve-thalasseus-maximus,rachel-carson-national-estuarine-research-reserve,Royal Tern,Thalasseus maximus,thalasseus-maximus,5,5,5,2,5552
rachel-carson-national-estuarine-research-reserve-thalasseus-sandvicensis,rachel-carson-national-estuarine-research-reserve,Sandwich Tern,Thalasseus sandvicensis,thalasseus-sandvicensis,5,5,5,0,5550
rachel-carson-national-estuarine-research-reserve-thryothorus-ludovicianus,rachel-carson-national-estuarine-research-reserve,Carolina Wren,Thryothorus ludovicianus,thryothorus-ludovicianus,5,5,5,5,5555
rachel-carson-national-estuarine-research-reserve-toxostoma-rufum,rachel-carson-national-estuarine-research-reserve,Brown Thrasher,Toxostoma rufum,toxostoma-rufum,4,4,4,4,4444
rachel-carson-national-estuarine-research-reserve-tringa-flavipes,rachel-carson-national-estuarine-research-reserve,Lesser Yellowlegs,Tringa flavipes,tringa-flavipes,3,3,3,0,3330
rachel-carson-national-estuarine-research-reserve-tringa-melanoleuca,rachel-carson-national-estuarine-research-reserve,Greater Yellowlegs,Tringa melanoleuca,tringa-melanoleuca,4,4,4,4,4444
rachel-carson-national-estuarine-research-reserve-tringa-semipalmata,rachel-carson-national-estuarine-research-reserve,Willet,Tringa semipalmata,tringa-semipalmata,5,5,5,5,5555
rachel-carson-national-estuarine-research-reserve-troglodytes-aedon,rachel-carson-national-estuarine-research-reserve,House Wren,Troglodytes aedon,troglodytes-aedon,2,0,4,4,2044
rachel-carson-national-estuarine-research-reserve-troglodytes-troglodytes,rachel-carson-national-estuarine-research-reserve,Winter Wren,Troglodytes troglodytes,troglodytes-troglodytes,0,0,3,3,33
rachel-carson-national-estuarine-research-reserve-turdus-migratorius,rachel-carson-national-estuarine-research-reserve,American Robin,Turdus migratorius,turdus-migratorius,2,0,3,2,2032
rachel-carson-national-estuarine-research-reserve-tyrannus-tyrannus,rachel-carson-national-estuarine-research-reserve,Eastern Kingbird,Tyrannus tyrannus,tyrannus-tyrannus,3,3,2,0,3320
rachel-carson-national-estuarine-research-reserve-tyto-alba,rachel-carson-national-estuarine-research-reserve,Barn Owl,Tyto alba,tyto-alba,0,0,1,1,11
rachel-carson-national-estuarine-research-reserve-vermivora-celata,rachel-carson-national-estuarine-research-reserve,Orange-crowned Warbler,Vermivora celata,vermivora-celata,3,0,3,2,3032
rachel-carson-national-estuarine-research-reserve-vireo-griseus,rachel-carson-national-estuarine-research-reserve,White-eyed Vireo,Vireo griseus,vireo-griseus,3,3,3,0,3330
rachel-carson-national-estuarine-research-reserve-vireo-olivaceus,rachel-carson-national-estuarine-research-reserve,Red-eyed Vireo,Vireo olivaceus,vireo-olivaceus,0,0,3,0,30
rachel-carson-national-estuarine-research-reserve-zenaida-macroura,rachel-carson-national-estuarine-research-reserve,Mourning Dove,Zenaida macroura,zenaida-macroura,5,5,5,2,5552
rachel-carson-national-estuarine-research-reserve-zonotrichia-albicollis,rachel-carson-national-estuarine-research-reserve,White-throated Sparrow,Zonotrichia albicollis,zonotrichia-albicollis,4,0,2,4,4024
rachel-carson-national-estuarine-research-reserve-zonotrichia-leucophrys,rachel-carson-national-estuarine-research-reserve,White-crowned Sparrow,Zonotrichia leucophrys,zonotrichia-leucophrys,0,0,3,0,30
